Layer,Fieldname,PFL,GIS,TR and Scraps,Duplicates
P_MAOPCalcRange,OBJECTID,,,,
P_MAOPCalcRange,CREATIONUSER,,,,
P_MAOPCalcRange,DATECREATED,,,,
P_MAOPCalcRange,DATEMODIFIED,,,,
P_MAOPCalcRange,LASTUSER,,,,
P_MAOPCalcRange,CONTINROUTEID,Route ID,,,Check
P_MAOPCalcRange,CONTINROUTENAME,TR,,,Check
P_MAOPCalcRange,EVENTID,,,,
P_MAOPCalcRange,CONTINFROMM,From Measure,,,
P_MAOPCalcRange,CONTINTOM,To Measure,,,
P_MAOPCalcRange,DOCUMENTMATURITYINDEX,,,,
P_MAOPCalcRange,LOCATIONERROR,,,,
P_MAOPCalcRange,MAOPDESIGN,DP of Pipe 192.619(a)(1),,,Check
P_MAOPCalcRange,MAOPRECORD,Governing MAOP,,,Check
P_MAOPCalcRange,MAOPTEST,Test Pressure 192.619(a)(2),,,Check
P_MAOPCalcRange,MAOPUNITOFMEASURE,,,,
P_MAOPCalcRange,FROMDATE,,,,
P_MAOPCalcRange,TODATE,,,,
P_MAOPCalcRange,PRESSUREESTABLISHEDBY,,,,
P_MAOPCalcRange,SHAPE,,,,
P_MAOPCalcRange,GLOBALID,,,,
P_MAOPCalcRange,SHAPE_Length,,,,
P_TVCLine,OBJECTID,,,,
P_TVCLine,ODDOCUMENT1TYPE,OD 1 Document 1 Type,,,Check
P_TVCLine,ODDOCUMENT2TYPE,OD 1 Document 2 Type,,,Check
P_TVCLine,ODDOCUMENT3TYPE,OD 1 Document 3 Type,,,Check
P_TVCLine,ODDOCUMENT4TYPE,OD 1 Document 4 Type,,,Check
P_TVCLine,ODDOCUMENT5TYPE,OD 1 Document 5 Type,,,Check
P_TVCLine,WTDOCUMENT1TYPE,WT 1 Document 1 Type,,,Check
P_TVCLine,WTDOCUMENT2TYPE,WT 1 Document 2 Type,,,Check
P_TVCLine,WTDOCUMENT3TYPE,WT 1 Document 3 Type,,,Check
P_TVCLine,WTDOCUMENT4TYPE,WT 1 Document 4 Type,,,Check
P_TVCLine,WTDOCUMENT5TYPE,WT 1 Document 5 Type,,,Check
P_TVCLine,PIPEGRADEDOCUMENT1TYPE,Spec Grade Document 1 Type,,,Check
P_TVCLine,PIPEGRADEDOCUMENT2TYPE,Spec Grade Document 2 Type,,,Check
P_TVCLine,PIPEGRADEDOCUMENT3TYPE,Spec Grade Document 3 Type,,,Check
P_TVCLine,PIPEGRADEDOCUMENT4TYPE,Spec Grade Document 4 Type,,,Check
P_TVCLine,CONTINROUTEID,Route ID,,,Check
P_TVCLine,CONTINROUTENAME,TR,,,Check
P_TVCLine,CONTINFROMM,From Measure,,,
P_TVCLine,CONTINTOM,To Measure,,,
P_TVCLine,FROMDATE,,,,
P_TVCLine,TODATE,,,,
P_TVCLine,PIPEGRADEDOCUMENT5TYPE,Spec Grade Document 5 Type,,,Check
P_TVCLine,PROJECTNUMBER,,,,
P_TVCLine,PROJECTDESCRIPTION,Project Name,,,Check
P_TVCLine,ENGFROMM,From Station,,,
P_TVCLine,ENGTOM,To Station,,,
P_TVCLine,SEAMDOCUMENT1TYPE,Seam Document 1 Type,,,Check
P_TVCLine,ODDOCUMENT1,OD 1 Document 1,,,Check
P_TVCLine,SEAMDOCUMENT2TYPE,Seam Document 2 Type,,,Check
P_TVCLine,ODDOCUMENT2,OD 1 Document 2,,,Check
P_TVCLine,SEAMDOCUMENT3TYPE,Seam Document 3 Type,,,Check
P_TVCLine,ODDOCUMENT3,OD 1 Document 3,,,Check
P_TVCLine,SEAMDOCUMENT4TYPE,Seam Document 4 Type,,,Check
P_TVCLine,ODDOCUMENT4,OD 1 Document 4,,,Check
P_TVCLine,SEAMDOCUMENT5TYPE,Seam Document 5 Type,,,Check
P_TVCLine,ODDOCUMENT5,OD 1 Document 5,,,Check
P_TVCLine,JOINTFACTOR,Joint Factor [E],,,Check
P_TVCLine,WTDOCUMENT1,WT 1 Document 1,,,Check
P_TVCLine,WTDOCUMENT2,WT 1 Document 2,,,Check
P_TVCLine,WTDOCUMENT3,WT 1 Document 3,,,Check
P_TVCLine,WTDOCUMENT4,WT 1 Document 4,,,Check
P_TVCLine,WTTVCSTATUS,WT 1 Matrix Check,,,Check
P_TVCLine,WTDOCUMENT5,WT 1 Document 5,,,Check
P_TVCLine,PIPEGRADETVCSTATUS,Spec Grade Matrix Check,,,Check
P_TVCLine,SEAMTVCSTATUS,Seam Matrix Check,,,Check
P_TVCLine,ODTVCSTATUS,OD 1 Matrix Check,,,Check
P_TVCLine,PIPEGRADEDOCUMENT1,Spec Grade Document 1,,,Check
P_TVCLine,PIPEGRADEDOCUMENT2,Spec Grade Document 2,,,Check
P_TVCLine,PIPEGRADEDOCUMENT3,Spec Grade Document 3,,,Check
P_TVCLine,PIPEGRADEDOCUMENT4,Spec Grade Document 4,,,Check
P_TVCLine,PIPEGRADEDOCUMENT5,Spec Grade Document 5,,,Check
P_TVCLine,NONTVCGAPSTATUS,Non TVC Gap Status,,,Check
P_TVCLine,SEAMDOCUMENT1,Seam Document 1,,,Check
P_TVCLine,SEAMDOCUMENT2,Seam Document 2,,,Check
P_TVCLine,SEAMTYPE,SeamType,,,Check
P_TVCLine,SEAMDOCUMENT3,Seam Document 3,,,Check
P_TVCLine,OUTSIDEDIAMETER,Outside Diameter [D],,,Check
P_TVCLine,SEAMDOCUMENT4,Seam Document 4,,,Check
P_TVCLine,FEATURETYPE,Feature Type,,,Check
P_TVCLine,SEAMDOCUMENT5,Seam Document 5,,,Check
P_TVCLine,PIPEGRADE,Grade,,,Check
P_TVCLine,WALLTHICKNESS,Wall Thickness [t],,,Check
P_TVCLine,WALLTHICKNESS2,Wall Thickness 2,,,Check
P_TVCLine,TVCSTATUS,TVC Status,,,Check
P_TVCLine,ENGINEERINGWHITEPAPER1,Engineering Whitepaper 1,,,Check
P_TVCLine,ENGINEERINGWHITEPAPER2,Engineering Whitepaper 2,,,Check
